Time
0
0.017
0.033
0.05
0.066
0.083
0.1
0.116
0.133
0.149
0.166
0.183
0.199
0.216
0.232
0.249
0.266
0.282
0.299
0.315
0.332
0.832
1.332
1.832
2.332
2.832
3.332
3.832
4.332
4.832
5.332
5.832
6.332
6.832
7.332
7.832
8.332
8.832
9.332
9.832
10.332
10.832
11.332
11.832
12.332
12.832
13.332
13.832
14.332
14.832
15.332
15.832
16.332
16.832
